City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,port alfred,-33.5906,26.891,60.19,81,7,8.99,ZA,1724786557
114,chui,-33.6971,-53.4616,57.67,66,66,5.61,UY,1724786558
115,invercargill,-46.4,168.35,44.02,97,98,1.99,NZ,1724786559
116,afaahiti,-17.75,-149.2833,71.37,76,100,17.02,PF,1724786560
117,colonia,50.9333,6.95,72.97,59,24,4.47,DE,1724786562
118,cruzeiro do sul,-29.5128,-51.9853,70.48,53,5,2.46,BR,1724786563
119,loei,17.4167,101.5,69.67,97,96,2.35,TH,1724786564
120,marquette,46.5333,-87.6335,69.82,97,100,3.0,US,1724786565
121,beledweyne,4.7358,45.2036,83.37,59,8,24.4,SO,1724786566
122,ghanzi,-21.5667,21.7833,70.57,14,0,7.23,BW,1724786567
123,remire-montjoly,4.9167,-52.2667,91.44,58,97,12.66,GF,1724786504
124,bom jesus da lapa,-13.255,-43.4181,92.95,22,42,14.47,BR,1724786570
125,la'ie,21.6477,-157.9253,81.1,75,52,8.01,US,1724786571
126,raja,8.4596,25.678,71.38,95,88,1.14,SS,1724786572
127,brak,27.5496,14.2714,92.26,19,41,8.55,LY,1724786573
128,malango,-2.9627,119.9001,63.86,100,13,1.36,ID,1724786574
129,laguna,38.421,-121.4238,92.05,32,0,8.05,US,1724786575
130,kuala tungkal,-0.8167,103.4667,77.02,86,100,3.89,ID,1724786576
131,labrador city,52.9463,-66.9114,73.31,56,100,12.66,CA,1724786577
132,punta arenas,-53.15,-70.9167,46.51,61,75,21.85,CL,1724786374
133,st. john's,47.5649,-52.7093,68.27,73,100,3.44,CA,1724786580
134,hithadhoo,-0.6,73.0833,83.21,76,0,9.91,MV,1724786581
135,iskateley,67.6803,53.1512,57.72,66,86,12.21,RU,1724786583
136,khromtau,50.2503,58.4347,60.51,57,0,11.01,KZ,1724786584
137,bowen,-20.0167,148.2333,62.74,89,7,7.76,AU,1724786585
138,ketchikan,55.3422,-131.6461,61.27,59,0,9.22,US,1724786586
139,brookings,44.3114,-96.7984,78.12,67,75,5.75,US,1724786455
